Tub,Replicate,Species,Weight (g),Notes
1 HW,3,EUOC,10.6,
1 HW,3,SCAC,NA,
1 HW,3,SCAM,NA,
1 HW,3,DISP,0.2,
1 HW,3,MUAS,1.6,
1 HW,3,PUNU,24.2,
1 HW,3,BOMA,NA,
1 HWO,3,PHAU ,NA,
1 HWO,3,EUMA,15.9,
1 HWO,3,SOCA,15.3,
1 HWO,3,EUOC,9.2,
1 HWO,3,SCAC,T,
1 HWO,3,SCAM,,
1 HWO,3,DISP,NA,
1 HWO,3,MUAS,1.5,
1 HWO,3,PUNU,24.6,
1 HWO,3,BOMA,NA,
1 LW,3,PHAU,6.7,
1 LW,3,EUMA,NA,
1 LW,3,SOCA,14.3,
1 LW,3,EUOC,1.4,
1 LW,3,SCAC,NA,
1 LW,3,SCAM,NA,
1 LW,3,DISP,T,
1 LW,3,MUAS,4.6,
1 LW,3,PUNU,25.5,
1 LW,3,BOMA,NA,
1 LWO,3,PHAU ,NA,
1 LWO,3,EUMA,4.7,
1 LWO,3,SOCA,26.1,
1 LWO,3,EUOC,5.9,
1 LWO,3,SCAC,NA,
1 LWO,3,SCAM,NA,
1 LWO,3,DISP,NA,
1 LWO,3,MUAS,1,
1 LWO,3,PUNU,21.3,
1 LWO,3,BOMA,NA,
2 HW,3,PHAU,2.3,
2 HW,3,EUMA,9,
2 HW,3,SOCA,7.4,
2 HW,3,EUOC,4,
2 HW,3,SCAC,NA,
2 HW,3,SCAM,NA,
2 HW,3,DISP,NA,
2 HW,3,MUAS,1.6,
2 HW,3,PUNU,64.3,
2 HW,3,BOMA,NA,
2 HWO,3,PHAU ,NA,
2 HWO,3,EUMA,0.1,
2 HWO,3,SOCA,2,
2 HWO,3,EUOC,2,
2 HWO,3,SCAC,NA,
2 HWO,3,SCAM,NA,
2 HWO,3,DISP,NA,
2 HWO,3,MUAS,0.1,
2 HWO,3,PUNU,46.8,
2 HWO,3,BOMA,NA,
2 LW,3,PHAU,17,
2 LW,3,EUMA,12.9,
2 LW,3,SOCA,2.3,
2 LW,3,EUOC,8.2,
2 LW,3,SCAC,T,
2 LW,3,SCAM,NA,
2 LW,3,DISP,NA,
2 LW,3,MUAS,2.7,
2 LW,3,PUNU,39.9,
2 LW,3,BOMA,NA,
2 LWO,3,PHAU ,NA,
2 LWO,3,EUMA,1.2,
2 LWO,3,SOCA,4.8,
2 LWO,3,EUOC,3.8,
2 LWO,3,SCAC,NA,
2 LWO,3,SCAM,NA,
2 LWO,3,DISP,NA,
2 LWO,3,MUAS,1.1,
2 LWO,3,PUNU,28.3,
2 LWO,3,BOMA,NA,
3 HW,3,PHAU,1.3,
3 HW,3,EUMA,2.7,
3 HW,3,SOCA,17,
3 HW,3,EUOC,3.1,
3 HW,3,SCAC,NA,
3 HW,3,SCAM,NA,
3 HW,3,DISP,NA,
3 HW,3,MUAS,2,
3 HW,3,PUNU,52.2,
3 HW,3,BOMA,NA,
3 HWO,3,PHAU ,NA,
3 HWO,3,EUMA,7,
3 HWO,3,SOCA,11,
3 HWO,3,EUOC,1.4,
3 HWO,3,SCAC,NA,
3 HWO,3,SCAM,NA,
3 HWO,3,DISP,NA,
3 HWO,3,MUAS,1.3,
3 HWO,3,PUNU,34.1,
3 HWO,3,BOMA,NA,
3 LW,3,PHAU,8.6,
3 LW,3,EUMA,13.6,
3 LW,3,SOCA,3.2,
3 LW,3,EUOC,3.3,
3 LW,3,SCAC,NA,
3 LW,3,SCAM,NA,
3 LW,3,DISP,NA,
3 LW,3,MUAS,1.4,
3 LW,3,PUNU,12.1,
3 LW,3,BOMA,NA,
3 LWO,3,PHAU ,NA,
3 LWO,3,EUMA,13.9,
3 LWO,3,SOCA,12.5,
3 LWO,3,EUOC,9.8,
3 LWO,3,SCAC,NA,
3 LWO,3,SCAM,NA,
3 LWO,3,DISP,NA,
3 LWO,3,MUAS,0.9,
3 LWO,3,PUNU,14.3,
3 LWO,3,BOMA,NA,
4 HW,3,PHAU,2.2,
4 HW,3,EUMA,13.4,
4 HW,3,SOCA,12.8,
4 HW,3,EUOC,7.8,
4 HW,3,SCAC,NA,
4 HW,3,SCAM,NA,
4 HW,3,DISP,NA,
4 HW,3,MUAS,1.1,
4 HW,3,PUNU,53.3,
4 HW,3,BOMA,NA,
4 HWO,3,PHAU ,NA,
4 HWO,3,EUMA,NA,
4 HWO,3,SOCA,6.2,
4 HWO,3,EUOC,1.8,
4 HWO,3,SCAC,NA,
4 HWO,3,SCAM,NA,
4 HWO,3,DISP,NA,
4 HWO,3,MUAS,T,
4 HWO,3,PUNU,46.1,
4 HWO,3,BOMA,NA,
4 LW,3,PHAU,5.7,
4 LW,3,EUMA,NA,
4 LW,3,SOCA,5.8,
4 LW,3,EUOC,2.7,
4 LW,3,SCAC,NA,
4 LW,3,SCAM,NA,
4 LW,3,DISP,NA,
4 LW,3,MUAS,1.1,
4 LW,3,PUNU,12.9,
4 LW,3,BOMA,NA,
4 LWO,3,PHAU ,NA,
4 LWO,3,EUMA,2.2,
4 LWO,3,SOCA,11.8,
4 LWO,3,EUOC,3,
4 LWO,3,SCAC,NA,
4 LWO,3,SCAM,NA,
4 LWO,3,DISP,NA,
4 LWO,3,MUAS,2.2,
4 LWO,3,PUNU,17.5,
4 LWO,3,BOMA,NA,
PHAU,3,PHAU,11.8,
1 HW,5,PHAU,0.5,
1 HW,5,EUMA,18.3,
1 HW,5,SOCA,12.5,
1 HW,5,EUOC,9.7,
1 HW,5,SCAC,NA,
1 HW,5,SCAM,NA,
1 HW,5,DISP,NA,
1 HW,5,MUAS,1.3,
1 HW,5,PUNU,20.8,
1 HW,5,BOMA,NA,
1 HWO,5,PHAU ,NA,
1 HWO,5,EUMA,0.9,
1 HWO,5,SOCA,13.8,
1 HWO,5,EUOC,7.1,
1 HWO,5,SCAC,NA,
1 HWO,5,SCAM,NA,
1 HWO,5,DISP,NA,
1 HWO,5,MUAS,1.6,
1 HWO,5,PUNU,27,
1 HWO,5,BOMA,NA,
1 LW,5,PHAU,2.3,
1 LW,5,EUMA,5.6,
1 LW,5,SOCA,22.5,
1 LW,5,EUOC,0.2,
1 LW,5,SCAC,NA,
1 LW,5,SCAM,NA,
1 LW,5,DISP,NA,
1 LW,5,MUAS,0.9,
1 LW,5,PUNU,11.8,
1 LW,5,BOMA,NA,
1 LWO,5,PHAU ,NA,
1 LWO,5,EUMA,2.3,
1 LWO,5,SOCA,27,
1 LWO,5,EUOC,0.6,
1 LWO,5,SCAC,NA,
1 LWO,5,SCAM,NA,
1 LWO,5,DISP,NA,
1 LWO,5,MUAS,0.8,
1 LWO,5,PUNU,7.2,
1 LWO,5,BOMA,NA,
2 HW,5,PHAU,0.8,
2 HW,5,EUMA,10,
2 HW,5,SOCA,8.6,
2 HW,5,EUOC,7.5,
2 HW,5,SCAC,NA,
2 HW,5,SCAM,NA,
2 HW,5,DISP,NA,
2 HW,5,MUAS,2.8,
2 HW,5,PUNU,40.2,
2 HW,5,BOMA,NA,
2 HWO,5,PHAU ,NA,
2 HWO,5,EUMA,13,
2 HWO,5,SOCA,9.8,
2 HWO,5,EUOC,1,
2 HWO,5,SCAC,NA,
2 HWO,5,SCAM,NA,
2 HWO,5,DISP,0.1,
2 HWO,5,MUAS,1.1,
2 HWO,5,PUNU,35,
2 HWO,5,BOMA,NA,
2 LW,5,PHAU,4.7,
2 LW,5,EUMA,2.6,
2 LW,5,SOCA,4.5,
2 LW,5,EUOC,1.7,
2 LW,5,SCAC,NA,
2 LW,5,SCAM,NA,
2 LW,5,DISP,NA,
2 LW,5,MUAS,0.6,
2 LW,5,PUNU,9.7,
2 LW,5,BOMA,NA,
2 LWO,5,PHAU ,NA,
2 LWO,5,EUMA,9.7,
2 LWO,5,SOCA,0.9,
2 LWO,5,EUOC,0.5,
2 LWO,5,SCAC,NA,
2 LWO,5,SCAM,NA,
2 LWO,5,DISP,NA,
